time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588783351.756331,-0.09,-0.14,9.57,0.13444444444444445,0.3377777777777778,-0.62,0.0625,0.625,-12.5625,331.9375,1.125,0.4375,0.97021484375,-0.00152587890625,-0.01068115234375,0.241943359375,12.18541893676799,8.835834193162938,19.221323377123028
1588783351.7692163,0.08,-0.1,9.69,0.13444444444444445,0.3377777777777778,-0.62,-0.0625,0.5,-10.6875,332.0625,1.125,0.4375,0.970458984375,-0.0015869140625,-0.0106201171875,0.24102783203125,12.152346422905849,8.835834193162938,19.298746312561445
1588783351.7801983,-0.11,-0.12,9.65,0.13444444444444445,0.3377777777777778,-0.62,0.125,0.625,-11.125,332.1875,1.0625,0.4375,0.970703125,-0.00164794921875,-0.01043701171875,0.2401123046875,12.152346422905849,8.835834193162938,19.298746312561445
1588783351.7914,-0.36,-0.14,9.71,0.16111111111111112,0.34444444444444444,-0.5911111111111111,-0.125,0.5,-10.5625,332.3125,1.0625,0.4375,0.970947265625,-0.00177001953125,-0.0101318359375,0.23907470703125,12.620409588296788,8.982460400612425,18.85012512434861
1588783351.8010373,-0.19,-0.15,9.67,0.16111111111111112,0.34444444444444444,-0.5911111111111111,0.0,0.4375,-7.6875,332.375,1.0,0.4375,0.9710693359375,-0.00189208984375,-0.0098876953125,0.23846435546875,12.3160101023635,8.982460400612425,18.85012512434861
1588783351.8107517,-0.09,-0.1,9.62,0.16111111111111112,0.34444444444444444,-0.5911111111111111,0.0,0.3125,-5.0,332.4375,1.0,0.4375,0.97119140625,-0.001953125,-0.00970458984375,0.238037109375,12.3160101023635,8.999450915454341,19.298746312561445
1588783351.8175259,-0.03,-0.09,9.63,0.16111111111111112,0.34444444444444444,-0.5911111111111111,0.0,0.25,-3.75,332.4375,1.0,0.4375,0.97125244140625,-0.00201416015625,-0.00958251953125,0.23773193359375,12.3160101023635,8.999450915454341,19.298746312561445
1588783351.8298519,-0.14,-0.16,9.69,0.16111111111111112,0.34444444444444444,-0.5911111111111111,0.0,0.5,-3.1875,332.5,0.9375,0.4375,0.9713134765625,-0.0020751953125,-0.0093994140625,0.23748779296875,11.93179159940788,8.999450915454341,18.564051710614322
1588783351.8359265,-0.1,-0.14,9.71,0.14888888888888888,0.3511111111111111,-0.6344444444444445,0.0,0.375,-2.4375,332.625,0.9375,0.4375,0.97161865234375,-0.00213623046875,-0.00927734375,0.236328125,11.93179159940788,8.999450915454341,18.564051710614322
1588783351.8462095,-0.1,-0.13,9.72,0.14888888888888888,0.3511111111111111,-0.6344444444444445,0.0,0.25,-1.1875,332.625,0.9375,0.4375,0.9716796875,-0.002197265625,-0.0091552734375,0.2362060546875,11.992666594884591,9.018399217477993,18.564051710614322
1588783351.859685,-0.05,-0.11,9.62,0.14888888888888888,0.3511111111111111,-0.6344444444444445,0.0625,0.25,-0.5,332.625,0.9375,0.4375,0.9716796875,-0.00225830078125,-0.009033203125,0.2362060546875,12.18541893676799,9.018399217477993,17.561087270375317
1588783351.8669698,-0.01,-0.08,9.67,0.14888888888888888,0.3511111111111111,-0.6344444444444445,0.0625,0.0625,-0.0625,332.625,0.875,0.4375,0.9716796875,-0.00225830078125,-0.00897216796875,0.2362060546875,12.18541893676799,8.854148710303436,17.561087270375317
1588783351.8884199,-0.04,-0.07,9.69,0.14888888888888888,0.3511111111111111,-0.6344444444444445,0.0625,0.125,-0.0625,332.625,0.875,0.4375,0.9716796875,-0.0023193359375,-0.00885009765625,0.2362060546875,12.252066579392132,9.03742155952085,19.526573943644642
1588783351.89699,-0.03,-0.09,9.65,0.16666666666666666,0.34444444444444444,-0.6055555555555555,-0.0625,0.1875,-0.1875,332.625,0.875,0.4375,0.9716796875,-0.0023193359375,-0.00872802734375,0.2362060546875,12.252066579392132,9.03742155952085,19.526573943644642
1588783351.9071805,-0.04,-0.08,9.6,0.16666666666666666,0.34444444444444444,-0.6055555555555555,-0.0625,0.125,0.0,332.625,0.875,0.4375,0.9716796875,-0.00238037109375,-0.0086669921875,0.2362060546875,12.024937666094175,9.018399217477993,19.526573943644642
