time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542490.8033438,-2.42,-2.2,9.4,0.5488888888888889,-0.03333333333333333,-0.7022222222222222,1.125,-5.875,124.5625
1589542490.8116453,-2.29,-1.94,8.61,0.5288888888888889,-0.09888888888888887,-0.7088888888888889,3.1875,-2.9375,122.3125
1589542490.8219905,-2.09,-1.88,8.83,0.5288888888888889,-0.09888888888888887,-0.7088888888888889,1.125,-5.625,118.0625
1589542490.8357534,-2.33,-1.98,9.17,0.5288888888888889,-0.09888888888888887,-0.7088888888888889,2.0,-5.0625,113.125
1589542490.8416288,-2.02,-1.69,8.86,0.5288888888888889,-0.09888888888888887,-0.7088888888888889,1.125,-4.625,107.0625
1589542490.856502,-2.1,-1.68,9.24,0.5288888888888889,-0.09888888888888887,-0.7088888888888889,0.75,-4.8125,100.3125
1589542490.862632,-2.28,-1.67,8.9,0.5288888888888889,-0.14222222222222222,-0.7444444444444445,1.6875,-3.6875,94.0625
1589542490.8741946,-2.15,-1.59,9.0,0.5288888888888889,-0.14222222222222222,-0.7444444444444445,0.3125,-4.25,86.375
1589542490.8805525,-1.99,-1.5,9.27,0.5288888888888889,-0.14222222222222222,-0.7444444444444445,-0.8125,-6.625,78.0
1589542490.8904836,-2.4,-1.62,9.63,0.5288888888888889,-0.14222222222222222,-0.7444444444444445,0.9375,-1.375,69.875
1589542490.902479,-2.35,-1.48,8.62,0.5288888888888889,-0.14222222222222222,-0.7444444444444445,1.875,-1.6875,62.1875
1589542490.913743,-1.97,-1.32,8.83,0.5011111111111111,-0.17888888888888888,-0.7588888888888888,0.4375,-3.75,54.0
1589542490.9211118,-2.47,-1.52,9.12,0.5011111111111111,-0.17888888888888888,-0.7588888888888888,-0.9375,-1.25,45.3125
1589542490.9308734,-2.51,-1.53,9.14,0.5011111111111111,-0.17888888888888888,-0.7588888888888888,-0.75,-3.0,37.875
1589542490.9407375,-2.47,-1.5,9.09,0.5011111111111111,-0.17888888888888888,-0.7588888888888888,2.75,1.3125,31.875
1589542490.956045,-2.22,-1.4,8.92,0.5011111111111111,-0.17888888888888888,-0.7588888888888888,-0.625,-0.25,23.375
1589542490.963965,-2.23,-1.39,8.85,0.44222222222222224,-0.20444444444444448,-0.8088888888888889,-1.5,-1.5625,15.1875
1589542490.9747422,-2.57,-1.6,9.65,0.44222222222222224,-0.20444444444444448,-0.8088888888888889,-0.4375,1.75,8.0625
1589542490.9858994,-2.04,-1.19,7.92,0.44222222222222224,-0.20444444444444448,-0.8088888888888889,1.0,1.4375,2.1875
1589542490.9922585,-2.34,-1.51,9.95,0.44222222222222224,-0.20444444444444448,-0.8088888888888889,-2.625,-1.1875,-4.125
1589542491.0081408,-2.07,-1.28,8.72,0.44222222222222224,-0.20444444444444448,-0.8088888888888889,0.3125,-0.75,-7.9375
1589542491.0143518,-2.2,-1.4,8.96,0.3944444444444444,-0.23222222222222225,-0.7866666666666666,-1.625,4.9375,-12.6875
1589542491.026051,-2.15,-1.34,8.13,0.3944444444444444,-0.23222222222222225,-0.7866666666666666,1.9375,1.5625,-16.8125
1589542491.0327592,-2.73,-1.64,9.39,0.3944444444444444,-0.23222222222222225,-0.7866666666666666,-2.8125,3.9375,-21.75
1589542491.0457375,-1.99,-1.3,8.19,0.3944444444444444,-0.23222222222222225,-0.7866666666666666,-1.0625,3.8125,-25.125
1589542491.0532598,-2.38,-1.54,8.92,0.3944444444444444,-0.23222222222222225,-0.7866666666666666,-0.5625,2.125,-28.4375
1589542491.065414,-2.81,-1.66,9.2,0.3944444444444444,-0.27,-0.7733333333333333,-1.375,5.1875,-30.5625
1589542491.0718882,-2.77,-1.63,8.49,0.3944444444444444,-0.27,-0.7733333333333333,-0.1875,3.5625,-31.9375
1589542491.0833259,-2.87,-1.79,9.53,0.3944444444444444,-0.27,-0.7733333333333333,-0.1875,4.0,-31.8125
1589542491.0920825,-3.06,-1.82,8.99,0.3944444444444444,-0.27,-0.7733333333333333,-2.0625,1.1875,-32.5
1589542491.1036065,-3.0,-1.83,9.55,0.3944444444444444,-0.27,-0.7733333333333333,-3.125,-0.625,-31.75
1589542491.1112187,-2.75,-1.63,9.13,0.34444444444444444,-0.25,-0.8244444444444444,0.25,3.8125,-28.6875
1589542491.122468,-2.87,-1.69,8.63,0.34444444444444444,-0.25,-0.8244444444444444,-0.375,1.875,-26.0
1589542491.1327221,-2.81,-1.7,8.65,0.34444444444444444,-0.25,-0.8244444444444444,0.125,2.4375,-23.875
1589542491.1451285,-2.84,-1.65,8.39,0.34444444444444444,-0.25,-0.8244444444444444,-0.25,1.6875,-22.1875
1589542491.1586149,-2.97,-1.86,9.39,0.34444444444444444,-0.25,-0.8244444444444444,-2.875,-2.3125,-21.5625
1589542491.164444,-2.46,-1.66,9.64,0.3388888888888889,-0.3111111111111111,-0.6733333333333333,-2.25,-2.8125,-19.625
1589542491.172648,-2.6,-1.68,9.27,0.3388888888888889,-0.3111111111111111,-0.6733333333333333,-0.125,2.4375,-17.4375
1589542491.1829839,-3.05,-1.84,8.72,0.3388888888888889,-0.3111111111111111,-0.6733333333333333,3.8125,5.3125,-14.5625
1589542491.1954925,-3.1,-1.87,8.85,0.3388888888888889,-0.3111111111111111,-0.6733333333333333,0.0,2.125,-14.5625
1589542491.2059135,-2.69,-1.76,9.26,0.3388888888888889,-0.3111111111111111,-0.6733333333333333,-1.0625,-0.25,-13.6875
1589542491.2173455,-2.53,-1.65,8.94,0.4211111111111111,-0.2611111111111111,-0.6466666666666666,0.9375,0.375,-12.8125
1589542491.224068,-2.43,-1.57,8.78,0.4211111111111111,-0.2611111111111111,-0.6466666666666666,-0.875,0.3125,-13.875
1589542491.2354672,-2.44,-1.71,9.11,0.4211111111111111,-0.2611111111111111,-0.6466666666666666,-2.625,-2.5,-15.5
1589542491.2424872,-2.39,-1.74,9.4,0.4211111111111111,-0.2611111111111111,-0.6466666666666666,0.0625,-1.25,-17.1875
1589542491.2542355,-2.86,-1.95,9.37,0.4211111111111111,-0.2611111111111111,-0.6466666666666666,1.625,3.75,-20.25
1589542491.2631366,-3.06,-1.97,8.31,0.4477777777777778,-0.2344444444444445,-0.64,0.0,2.3125,-23.4375
